List of Countries,"What is your year of birth (Just the year, e.g. 1995) ?",How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,What is your first degree subject area?,How many years work experience do you have?,What sectors have you worked in?,Previous experiences of team working in study and work,"Based on experience or feeling, my expectations for this module are that: - I will enjoy working in the team","Based on experience or feeling, my expectations for this module are that: - Team communication will be highly effective","Based on experience or feeling, my expectations for this module are that: - Team communication will be very frequent","Based on experience or feeling, my expectations for this module are that: - My team will bond personally as well as professionally","Based on experience or feeling, my expectations for this module are that: - We will collaborate together on the same tasks","Based on experience or feeling, my expectations for this module are that: - We will tend to work on separate tasks and link them together later on","Based on experience or feeling, my expectations for this module are that: - I will develop my professional skills as a result of the team project","Based on experience or feeling, my expectations for this module are that: - I will develop my team working skills and my approach to collaboration as a result of the team project","Based on experience or feeling, my expectations for this module are that: - We will adjust the project regularly as we go along","Based on experience or feeling, my expectations for this module are that: - We will stick to our original project plan","Based on experience or feeling, my expectations for this module are that: - We will produce an end result which we are proud of","I see myself as... - Extraverted, enthusiastic","I see myself as... - Critical, quarrelsome","I see myself as... - Dependable, self-disciplined","I see myself as... - Anxious, easily upset","I see myself as... - Open to a new experiences, complex","I see myself as... - Reserved, quiet","I see myself as... - Sympathetic, warm","I see myself as... - Disorganised, careless","I see myself as... - Calm, emotionally stable","I see myself as... - Conventional, uncreative","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 1. Because I think that this module is interesting","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 2. Because I am doing it for my own good","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 3. Because I am supposed to do it","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 4. There may be good reasons to do this module, but personally I don’t see any","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 5. Because I think that this module is pleasant","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 6. Because I think that this module is good for me","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 7. Because it is something that I have to do","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 8. I am doing this module but I am not sure if it is worth it","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 9. Because this module looks fun","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 10. By personal decision","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 11. Because I don’t have any choice","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 12. I don’t know; I don’t see what this module brings me","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 13. Because I feel good about this module","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 14. Because I believe that this module is important for me","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 15. Because I feel that I have to do it","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 16. I am doing this module, but I am not sure it is a good thing to pursue it"
Myanmar,1991,Female,,CAH17-01	Business and management,5,"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,ACCOMMODATION AND FOOD SERVICE ACTIVITIES",I have some experience,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree a little,Agree a little,Agree moderately,Agree a little,Agree a little,Disagree a little,Agree a little,Disagree moderately,Neither agree nor disagree,Disagree moderately,Exactly,Exactly,Exactly,A Very Little,Enough,Enough,Moderately,Enough,Moderately,Enough,Not At All,Not At All,Moderately,Enough,Moderately,Not At All
Nigeria,1994,Male,,"CAH26-01 Geography, earth and environmental studies",,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES,FINANCIAL AND INSURANCE ACTIVITIES,PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",I have experience of teamworking and have also led teams,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree strongly,Agree moderately,Agree moderately,Diagree strongly,Agree strongly,Agree moderately,Agree moderately,Diagree strongly,Agree strongly,Diagree strongly,Not At All,A Lot,Exactly,Not At All,Not At All,Moderately,Exactly,Not At All,Not At All,Not At All,Not At All,Not At All,Not At All,Exactly,Not At All,Not At All
United Kingdom of Great Britain and Northern Ireland,2000,Male,,CAH04-01	Psychology,0,,I have some experience,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree moderately,Neither agree nor disagree,Agree a little,Disagree a little,Agree a little,Disagree a little,Agree a little,Agree a little,Agree a little,Disagree moderately,Enough,A Lot,A Very Little,Not At All,Enough,A Lot,Not At All,A Very Little,Enough,Exactly,Not At All,Not At All,Enough,A Lot,Not At All,A Very Little
United Kingdom of Great Britain and Northern Ireland,2002,Male,,CAH11-01	Computing,3,"MANUFACTURING,CONSTRUCTION",I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Agree a little,Disagree a little,Agree moderately,Disagree moderately,Agree a little,Disagree moderately,Agree a little,Disagree a little,Agree moderately,Disagree moderately,Moderately,Enough,Exactly,A Lot,Enough,A Little,Exactly,A Lot,A Little,Enough,A Lot,Moderately,Moderately,Moderately,A Lot,Enough
Poland,2001,Male,,CAH17-01	Business and management,2,"AGRICULTURE, FORESTRY AND FISHING",I have experience of teamworking and have also led teams,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree a little,Agree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree a little,Agree a little,Diagree strongly,Agree strongly,Neither agree nor disagree,Enough,A Lot,A Very Little,A Very Little,Moderately,Enough,A Very Little,A Little,Enough,Moderately,A Very Little,A Very Little,A Lot,A Lot,A Very Little,A Very Little
Iran,1982,Male,,CAH10-01	Engineering,10,OTHER SERVICE ACTIVITIES,I have some experience,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Agree a little,Agree a little,Agree a little,Agree a little,Agree moderately,Disagree moderately,Agree a little,Diagree strongly,Neither agree nor disagree,Diagree strongly,Enough,Enough,Moderately,Not At All,Enough,Enough,Moderately,Moderately,Enough,Enough,Not At All,Not At All,Enough,Moderately,A Little,Not At All
Malaysia,1992,Male,,CAH17-01	Business and management,7,FINANCIAL AND INSURANCE ACTIVITIES,I have some experience,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree a little,Agree moderately,Agree moderately,Neither agree nor disagree,Agree moderately,Agree a little,Agree moderately,Disagree a little,Agree moderately,Agree moderately,A Lot,A Lot,Not At All,Not At All,A Lot,Exactly,Not At All,Not At All,A Lot,Exactly,Not At All,Not At All,Exactly,Exactly,Not At All,Not At All
United Kingdom of Great Britain and Northern Ireland,1987,Male,,CAH10-01	Engineering,5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",I have extensive experience of teamworking,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree a little,Diagree strongly,Agree strongly,Disagree moderately,Agree strongly,Agree a little,Agree strongly,Diagree strongly,Agree moderately,Diagree strongly,Exactly,Exactly,Not At All,Not At All,Moderately,Exactly,Exactly,Not At All,Exactly,Exactly,Not At All,Not At All,Exactly,Exactly,Exactly,Not At All
Algeria,2002,Female,,"CAH07-04	General, applied and forensic sciences",1,"MANUFACTURING,TRANSPORTATION AND STORAGE,OTHER SERVICE ACTIVITIES",I have some experience,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Disagree a little,Neither agree nor disagree,Agree a little,Disagree moderately,Agree moderately,Agree a little,Agree a little,Diagree strongly,Disagree a little,Disagree moderately,A Lot,Moderately,Not At All,Not At All,Moderately,A Lot,A Very Little,A Very Little,Moderately,Enough,A Very Little,Not At All,Moderately,Enough,A Very Little,A Very Little
United Kingdom of Great Britain and Northern Ireland,1980,Female,,CAH07-01	Physics and astronomy,26,"FINANCIAL AND INSURANCE ACTIVITIES,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,OTHER SERVICE ACTIVITIES",I have some experience,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Disagree a little,Diagree strongly,Agree moderately,Disagree moderately,Agree strongly,Agree a little,Agree moderately,Agree a little,Agree strongly,Agree moderately,A Little,Moderately,A Lot,A Little,A Very Little,Moderately,A Lot,A Little,A Very Little,Moderately,A Lot,Moderately,Moderately,A Little,A Lot,A Little
United Kingdom of Great Britain and Northern Ireland,1984,Female,,CAH04-01	Psychology,17,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,OTHER SERVICE ACTIVITIES",I have experience of teamworking and have also led teams,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree moderately,Diagree strongly,Agree strongly,Neither agree nor disagree,Agree moderately,Disagree a little,Agree moderately,Diagree strongly,Agree strongly,Neither agree nor disagree,A Lot,Enough,Enough,Not At All,Enough,Enough,Moderately,Not At All,A Lot,A Little,Moderately,Not At All,A Lot,A Lot,Moderately,Not At All
United Kingdom of Great Britain and Northern Ireland,1988,Male,,,15,CONSTRUCTION,I have experience of teamworking and have also led teams,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Agree strongly,Agree a little,Agree a little,Disagree a little,Agree strongly,Diagree strongly,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Disagree moderately,A Lot,Enough,Moderately,A Little,A Lot,Exactly,Not At All,A Very Little,Moderately,Enough,A Very Little,A Very Little,A Lot,A Lot,A Very Little,A Very Little
China,2001,Male,,CAH11-01	Computing,0,OTHER SERVICE ACTIVITIES,I have no prior experience of teamworking,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree a little,Diagree strongly,Agree moderately,Agree a little,Neither agree nor disagree,Agree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Enough,Enough,Enough,Moderately,Enough,Enough,A Lot,A Lot,A Lot,Enough,Enough,Moderately,A Lot,A Lot,A Lot,Moderately
Singapore,1988,Female,,CAH04-01	Psychology,12,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES,FINANCIAL AND INSURANCE ACTIVITIES",I have experience of teamworking and have also led teams,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Agree a little,Disagree moderately,Agree strongly,Diagree strongly,Agree strongly,Disagree moderately,Agree moderately,Disagree moderately,Agree a little,Disagree a little,Enough,Exactly,A Very Little,Not At All,Enough,A Lot,Not At All,Moderately,Enough,Exactly,Not At All,Not At All,Enough,Moderately,Not At All,Not At All
India,1990,Male,,CAH11-01	Computing,12,"FINANCIAL AND INSURANCE ACTIVITIES,OTHER SERVICE ACTIVITIES",I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Agree strongly,Disagree a little,Agree strongly,Disagree a little,Agree strongly,Disagree a little,Agree a little,Diagree strongly,Agree moderately,Disagree moderately,Exactly,Exactly,Moderately,A Very Little,Enough,Enough,Enough,A Very Little,Moderately,A Very Little,Moderately,A Little,Enough,Enough,Enough,Moderately
Philippines,1984,Male,,CAH17-01	Business and management,16,"MANUFACTURING,ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY,FINANCIAL AND INSURANCE ACTIVITIES",I have experience of teamworking and have also led teams,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree moderately,Disagree a little,Agree moderately,Neither agree nor disagree,Agree strongly,Diagree strongly,Agree moderately,Neither agree nor disagree,Neither agree nor disagree,Disagree moderately,Enough,Exactly,Enough,A Lot,Exactly,Exactly,Exactly,Not At All,Exactly,Exactly,,Not At All,A Lot,A Lot,Exactly,Not At All
Turkey,1982,Male,,CAH11-01	Computing,4,"INFORMATION AND COMMUNICATION,OTHER SERVICE ACTIVITIES",I have extensive experience of teamworking,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Disagree a little,Agree moderately,Agree moderately,Neither agree nor disagree,Agree moderately,Neither agree nor disagree,Neither agree nor disagree,Disagree moderately,Agree a little,Disagree a little,Enough,Enough,Enough,A Little,Enough,A Lot,A Little,A Little,Enough,A Little,Enough,Moderately,Enough,Enough,Enough,A Little
Viet Nam,1995,Male,,,6,"MANUFACTURING,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Diagree strongly,Agree a little,Agree moderately,Disagree moderately,Agree moderately,Agree strongly,Agree moderately,Disagree moderately,Neither agree nor disagree,Disagree moderately,Enough,A Lot,Exactly,A Very Little,Moderately,Enough,A Lot,A Very Little,Moderately,A Little,Moderately,A Little,Enough,Enough,A Lot,A Little
United Kingdom of Great Britain and Northern Ireland,1974,Male,,CAH11-01	Computing,,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES,INFORMATION AND COMMUNICATION,FINANCIAL AND INSURANCE ACTIVITIES,PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Diagree strongly,Agree strongly,Diagree strongly,Agree strongly,Disagree moderately,Agree strongly,Disagree moderately,Agree strongly,Disagree a little,A Lot,Moderately,Exactly,A Lot,Moderately,Moderately,Moderately,Enough,Moderately,Moderately,Exactly,Moderately,Moderately,Moderately,Moderately,Moderately
Nigeria,1991,Female,,CAH17-01	Business and management,3,"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,EDUCATION,OTHER SERVICE ACTIVITIES",I have some experience,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,Agree strongly,Agree strongly,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,A Lot,A Lot,Not At All,Not At All,A Lot,A Lot,A Lot,Not At All,A Lot,Exactly,Not At All,Not At All,A Lot,Exactly,A Lot,Not At All
Morocco,2001,Male,,CAH11-01	Computing,1,"TRANSPORTATION AND STORAGE,EDUCATION",I have extensive experience of teamworking,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Agree moderately,Agree moderately,Neither agree nor disagree,Agree moderately,Agree moderately,Agree a little,Neither agree nor disagree,Agree moderately,Disagree moderately,Exactly,Exactly,Not At All,Not At All,A Lot,A Lot,Moderately,Not At All,Exactly,Exactly,Not At All,Not At All,Exactly,Exactly,Enough,Not At All
Nigeria,2000,Male,,CAH03-01	Biosciences,1,OTHER SERVICE ACTIVITIES,I have some experience,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree a little,Diagree strongly,Agree moderately,Disagree a little,Agree strongly,Agree moderately,Agree moderately,Diagree strongly,Agree strongly,Diagree strongly,A Lot,Moderately,Enough,Not At All,A Lot,A Lot,A Lot,Not At All,Enough,Exactly,Not At All,Not At All,A Lot,Enough,Enough,Not At All
United Kingdom of Great Britain and Northern Ireland,1988,Female,,CAH04-01	Psychology,15,"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,FINANCIAL AND INSURANCE ACTIVITIES,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,EDUCATION",I have experience of teamworking and have also led teams,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Agree moderately,Neither agree nor disagree,Agree a little,Agree a little,Agree moderately,Disagree moderately,Agree a little,Neither agree nor disagree,Disagree a little,Disagree a little,Enough,Enough,Exactly,Moderately,A Little,Enough,Exactly,Moderately,A Little,Not At All,Exactly,Moderately,Moderately,Moderately,Exactly,A Very Little
China,2001,Male,,CAH11-01	Computing,0,,I have no prior experience of teamworking,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Diagree strongly,Diagree strongly,Diagree strongly,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,Agree strongly,Agree strongly,Agree strongly,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately
Jordan,1994,Female,,CAH04-01	Psychology,6,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",I have some experience,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Agree moderately,Disagree a little,Agree moderately,Neither agree nor disagree,Agree a little,Diagree strongly,Moderately,Moderately,Exactly,Not At All,Enough,A Lot,Exactly,A Little,Moderately,Not At All,Exactly,Not At All,Enough,A Lot,Exactly,Not At All
United Kingdom of Great Britain and Northern Ireland,1990,Male,,CAH02-05	Medical sciences,,"TRANSPORTATION AND STORAGE,FINANCIAL AND INSURANCE ACTIVITIES",I have extensive experience of teamworking,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Disagree moderately,Diagree strongly,Agree strongly,Disagree a little,Agree strongly,Neither agree nor disagree,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,Enough,Moderately,A Lot,Not At All,Moderately,Moderately,Exactly,A Very Little,Moderately,Not At All,A Lot,Not At All,Enough,Moderately,A Lot,Not At All
Bangladesh,1995,Female,,CAH17-01	Business and management,3,"INFORMATION AND COMMUNICATION,FINANCIAL AND INSURANCE ACTIVITIES,OTHER SERVICE ACTIVITIES",I have some experience,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree a little,Disagree a little,,Agree moderately,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,Agree strongly,Agree a little,Exactly,Exactly,Not At All,Not At All,Exactly,Exactly,Not At All,Not At All,Exactly,A Lot,A Very Little,Not At All,Exactly,Exactly,Not At All,A Very Little
United Kingdom of Great Britain and Northern Ireland,2002,Male,,CAH20-01	History and archaeology,5,"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,ACCOMMODATION AND FOOD SERVICE ACTIVITIES",I have some experience,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Disagree moderately,Agree a little,Disagree moderately,Agree a little,Disagree a little,Neither agree nor disagree,Disagree moderately,Agree moderately,Disagree a little,Moderately,Enough,A Lot,A Little,Enough,Enough,Enough,A Very Little,Moderately,A Little,A Very Little,A Very Little,Moderately,Moderately,A Little,A Very Little
United Kingdom of Great Britain and Northern Ireland,1979,Female,,CAH22-01	Education and teaching,6,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",I have extensive experience of teamworking,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Disagree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree strongly,Agree moderately,Agree strongly,Diagree strongly,Agree moderately,Disagree moderately,Moderately,Enough,Enough,A Lot,A Very Little,A Lot,A Lot,A Very Little,A Very Little,A Lot,A Lot,A Very Little,Moderately,Exactly,Exactly,A Very Little
United Kingdom of Great Britain and Northern Ireland,1983,Male,,CAH09-01	Mathematical sciences,13,EDUCATION,I have experience of teamworking and have also led teams,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree a little,Agree moderately,Agree a little,Agree a little,Neither agree nor disagree,Agree moderately,Neither agree nor disagree,Agree a little,Neither agree nor disagree,A Little,Moderately,Exactly,Not At All,Moderately,Moderately,Exactly,A Little,A Little,A Little,Exactly,A Little,A Little,Moderately,Exactly,Not At All
Sri Lanka,1983,Male,,CAH10-01	Engineering,15,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree strongly,Agree a little,Agree strongly,Disagree moderately,Agree strongly,Neither agree nor disagree,Agree a little,Diagree strongly,Agree moderately,Disagree moderately,A Lot,Exactly,Enough,,A Lot,Exactly,Exactly,Enough,Exactly,Enough,A Very Little,A Very Little,Exactly,Exactly,Exactly,A Very Little
Sri Lanka,1993,Male,,CAH17-01	Business and management,9,FINANCIAL AND INSURANCE ACTIVITIES,I have extensive experience of teamworking,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree moderately,Agree moderately,Agree moderately,Neither agree nor disagree,Agree strongly,Disagree a little,Agree a little,Diagree strongly,Agree a little,Disagree moderately,Enough,A Lot,A Very Little,A Very Little,Moderately,A Lot,Moderately,Not At All,Moderately,Moderately,A Very Little,A Very Little,A Lot,A Lot,Moderately,A Very Little
United Kingdom of Great Britain and Northern Ireland,2000,Male,,CAH09-01	Mathematical sciences,1,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",I have no prior experience of teamworking,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Disagree moderately,Agree moderately,Agree a little,Neither agree nor disagree,Agree moderately,Agree a little,Neither agree nor disagree,Disagree moderately,Agree moderately,Neither agree nor disagree,Enough,A Lot,Enough,Not At All,A Very Little,Exactly,Not At All,Not At All,A Very Little,Not At All,Not At All,Not At All,A Very Little,A Lot,Not At All,Not At All
United Kingdom of Great Britain and Northern Ireland,1996,Male,,CAH04-01	Psychology,5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",I have experience of teamworking and have also led teams,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Disagree a little,Diagree strongly,Agree strongly,Neither agree nor disagree,Agree moderately,Agree moderately,Agree strongly,Diagree strongly,Agree strongly,Neither agree nor disagree,A Little,A Little,Exactly,Not At All,A Little,Moderately,Exactly,Moderately,A Little,Not At All,Exactly,Moderately,A Little,Moderately,A Lot,A Very Little
Bangladesh,1999,Male,,CAH10-01	Engineering,2,EDUCATION,I have extensive experience of teamworking,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree a little,Disagree moderately,Agree moderately,Disagree a little,Agree strongly,Agree strongly,Disagree moderately,Disagree moderately,Agree strongly,Agree strongly,Exactly,Exactly,Exactly,Exactly,Exactly,Exactly,Exactly,A Very Little,A Little,A Lot,Moderately,Not At All,A Very Little,Exactly,Exactly,Not At All
Nigeria,1976,Female,,CAH25-01	Creative arts and design,,FINANCIAL AND INSURANCE ACTIVITIES,I have some experience,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree moderately,Diagree strongly,,Agree a little,Agree strongly,Disagree a little,Agree strongly,Diagree strongly,Agree strongly,Agree a little,Enough,A Lot,Moderately,Not At All,Enough,Enough,Moderately,Not At All,Enough,Moderately,Not At All,Not At All,Enough,A Lot,Moderately,Not At All
Pakistan,1998,Male,,CAH11-01	Computing,4,"INFORMATION AND COMMUNICATION,EDUCATION",I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree a little,Disagree moderately,Agree moderately,Disagree moderately,Agree strongly,Neither agree nor disagree,Agree moderately,Diagree strongly,Agree moderately,Diagree strongly,Enough,A Lot,Moderately,Not At All,Moderately,Moderately,Moderately,Not At All,A Lot,A Lot,Not At All,Not At All,Enough,Enough,Moderately,A Very Little
