student_id,total_marks,list_of_countries,what_is_your_year_of_birth_just_the_year,how_do_you_describe_yourself___selected_choice,what_is_your_first_degree_subject_area
171,73.2,India,2001,Male,CAH10-01	Engineering
172,63.8,Nigeria,2001,Male,"CAH26-01 Geography, earth and environmental studies"
173,74.0,Viet Nam,1998,Male,CAH11-01	Computing
174,64.6,China,2002,Male,CAH11-01	Computing
175,71.2,Nigeria,1996,Female,CAH17-01	Business and management
176,64.4,Nigeria,1980,Female,CAH09-01	Mathematical sciences
177,66.2,Nigeria,2001,Female,CAH17-01	Business and management
178,63.0,Australia,1977,Female,CAH16-01	Law
179,65.8,United Kingdom of Great Britain and Northern Ireland,2001,Male,CAH11-01	Computing
180,73.2,India,2000,Male,CAH10-01	Engineering
181,64.4,Nigeria,1976,Female,CAH17-01	Business and management
182,63.4,Sri Lanka,2000,Female,CAH17-01	Business and management
183,68.6,Viet Nam,1997,Female,CAH17-01	Business and management
184,73.0,Thailand,2001,Male,CAH17-01	Business and management
185,67.4,United Kingdom of Great Britain and Northern Ireland,2001,Male,CAH04-01	Psychology
186,62.4,Iran,1995,Female,CAH10-01	Engineering
187,64.8,United Kingdom of Great Britain and Northern Ireland,1997,Female,CAH09-01	Mathematical sciences
188,52.4,Egypt,1986,Male,CAH10-01	Engineering
189,63.8,Sri Lanka,1987,Female,CAH10-01	Engineering
190,73.8,Algeria,1996,Male,NA
191,62.4,Sri Lanka,1996,Female,CAH17-01	Business and management
192,73.0,Iran,1988,Male,CAH10-01	Engineering
193,73.0,Sri Lanka,1996,Female,CAH09-01	Mathematical sciences
194,69.2,India,1996,Male,CAH17-01	Business and management
195,62.4,India,1997,Male,CAH10-01	Engineering
196,70.0,Nigeria,1991,Male,CAH11-01	Computing
197,58.0,Nigeria,1997,Female,CAH15-02	Economics
198,57.0,United Kingdom of Great Britain and Northern Ireland,2000,Female,CAH04-01	Psychology
199,68.6,Malaysia,2000,Female,CAH17-01	Business and management
200,63.2,United Kingdom of Great Britain and Northern Ireland,2001,Female,CAH15-02	Economics
201,71.2,China,2002,Male,CAH11-01	Computing
202,68.2,Iran,1992,Female,CAH10-01	Engineering
203,73.2,Pakistan,1994,Male,CAH10-01	Engineering
204,52.5,India,1999,Male,CAH10-01	Engineering
205,68.6,Myanmar,2001,Female,CAH17-01	Business and management
206,73.8,Turkey,1999,Female,CAH10-01	Engineering
207,71.6,Nigeria,1994,Male,CAH15-02	Economics
208,60.4,India,1992,Male,CAH19-01	English studies
209,64.0,Bangladesh,1996,Female,CAH17-01	Business and management
210,73.0,Sri Lanka,1996,Female,CAH11-01	Computing
211,61.8,Myanmar,1998,Female,CAH11-01	Computing
212,63.0,United States of America,2001,Male,CAH11-01	Computing
