student_id,total_marks,list_of_countries,what_is_your_year_of_birth,how_do_you_describe_yourself___selected_choice,what_is_your_first_degree_subject_area,what_is_your_year_of_birth_just_the_year
65,55.0,Hong Kong (S.A.R.),,Male,"CAH13-01	Architecture, building and planning",2000.0
66,60.0,Hong Kong (S.A.R.),,Female,"CAH15-01	Sociology, social policy and anthropology",1995.0
67,58.0,India,,Female,CAH17-01	Business and management,1987.0
68,70.0,Myanmar,,Female,CAH11-01	Computing,1996.0
69,64.0,United Kingdom of Great Britain and Northern Ireland,,Male,CAH10-01	Engineering,1992.0
70,65.0,Nigeria,,Male,CAH15-02	Economics,1995.0
71,64.0,Viet Nam,,Male,CAH15-02	Economics,1998.0
72,69.0,India,,Male,"CAH06-01	Agriculture, food and related studies",1984.0
73,64.0,India,,Female,CAH10-01	Engineering,1997.0
74,63.0,Sri Lanka,,Female,CAH17-01	Business and management,1986.0
75,62.0,Sri Lanka,,Male,CAH17-01	Business and management,1980.0
76,61.0,Poland,,Male,CAH02-05	Medical sciences,1996.0
77,77.0,Sri Lanka,,Male,CAH17-01	Business and management,1990.0
78,56.0,Pakistan,,Male,CAH10-01	Engineering,1992.0
79,66.0,India,,Female,CAH15-02	Economics,1994.0
80,54.0,Nigeria,,Male,CAH10-01	Engineering,1988.0
81,73.0,India,,Female,CAH11-01	Computing,1989.0
82,63.6,Nigeria,,Female,CAH09-01	Mathematical sciences,1985.0
83,65.2,Nigeria,,Female,CAH07-01	Physics and astronomy,1996.0
84,69.0,India,,Male,CAH11-01	Computing,1999.0
85,56.8,Nigeria,,Male,"CAH02-02	Pharmacology, toxicology and pharmacy",1993.0
86,74.0,Cameroon,,Male,CAH10-03	Materials and technology,1997.0
87,74.6,Egypt,,Male,CAH10-01	Engineering,1996.0
88,62.6,Nigeria,,Male,CAH10-01	Engineering,1980.0
89,70.0,Thailand,,Male,CAH11-01	Computing,1997.0
90,68.2,Pakistan,,Male,CAH11-01	Computing,1995.0
91,73.6,Sri Lanka,,Male,CAH17-01	Business and management,1994.0
92,57.0,Nigeria,,Male,,1992.0
93,66.4,Sri Lanka,,Male,CAH11-01	Computing,1986.0
94,74.8,India,,Female,CAH10-01	Engineering,1984.0
95,68.4,Nigeria,,Female,CAH03-01	Biosciences,1980.0
96,73.4,Sri Lanka,,Male,CAH11-01	Computing,1998.0
97,72.4,Bolivia,,Male,CAH10-01	Engineering,1998.0
98,76.0,Spain,,Female,"CAH24-01	Media, journalism and communications",1994.0
99,73.8,Turkey,,Male,CAH17-01	Business and management,1987.0
100,76.4,Turkey,,Male,CAH15-02	Economics,1990.0
101,60.0,Nigeria,,Male,CAH10-01	Engineering,1999.0
102,65.0,Nigeria,,Male,CAH07-01	Physics and astronomy,1995.0
103,69.6,Nigeria,,Female,CAH07-02	Chemistry,1997.0
104,62.8,Nigeria,,Male,CAH11-01	Computing,1976.0
105,71.8,Sri Lanka,,Male,CAH09-01	Mathematical sciences,1977.0
106,66.0,Nigeria,,Female,CAH03-01	Biosciences,1986.0
107,63.4,Bangladesh,,Male,CAH11-01	Computing,1999.0
108,74.0,India,,Female,CAH11-01	Computing,1997.0
109,52.6,United States of America,,Male,CAH03-02	Sport and exercise sciences,1997.0
110,68.0,United Kingdom of Great Britain and Northern Ireland,,Female,CAH03-01	Biosciences,1998.0
111,62.6,Nigeria,,Male,CAH15-02	Economics,1980.0
112,73.0,Sri Lanka,,Female,CAH09-01	Mathematical sciences,1992.0
113,59.0,Nigeria,,Male,CAH16-01	Law,1990.0
114,58.0,Nigeria,,Female,CAH19-01	English studies,1996.0
115,58.0,Nigeria,,Male,CAH07-01	Physics and astronomy,2001.0
116,70.6,Ghana,,Male,CAH04-01	Psychology,1992.0
117,66.4,Pakistan,,Female,CAH11-01	Computing,1999.0
118,73.0,Myanmar,,Female,CAH17-01	Business and management,1991.0
119,64.4,Nigeria,,Male,"CAH26-01 Geography, earth and environmental studies",1994.0
120,52.0,United Kingdom of Great Britain and Northern Ireland,,Male,CAH04-01	Psychology,2000.0
121,64.0,United Kingdom of Great Britain and Northern Ireland,,Male,CAH11-01	Computing,2002.0
122,64.0,Poland,,Male,CAH17-01	Business and management,2001.0
123,74.2,Iran,,Male,CAH10-01	Engineering,1982.0
124,73.2,Malaysia,,Male,CAH17-01	Business and management,1992.0
125,63.0,United Kingdom of Great Britain and Northern Ireland,,Male,CAH10-01	Engineering,1987.0
126,73.2,Algeria,,Female,"CAH07-04	General, applied and forensic sciences",2002.0
127,72.0,United Kingdom of Great Britain and Northern Ireland,,Female,CAH07-01	Physics and astronomy,1980.0
128,73.8,United Kingdom of Great Britain and Northern Ireland,,Female,CAH04-01	Psychology,1984.0
129,72.0,United Kingdom of Great Britain and Northern Ireland,,Male,,1988.0
130,56.2,China,,Male,CAH11-01	Computing,2001.0
131,74.0,Singapore,,Female,CAH04-01	Psychology,1988.0
132,65.8,India,,Male,CAH11-01	Computing,1990.0
133,61.8,Philippines,,Male,CAH17-01	Business and management,1984.0
134,62.2,Turkey,,Male,CAH11-01	Computing,1982.0
135,70.6,Viet Nam,,Male,,1995.0
136,72.0,United Kingdom of Great Britain and Northern Ireland,,Male,CAH11-01	Computing,1974.0
137,58.0,Nigeria,,Female,CAH17-01	Business and management,1991.0
138,58.0,Morocco,,Male,CAH11-01	Computing,2001.0
139,63.0,Nigeria,,Male,CAH03-01	Biosciences,2000.0
140,75.2,United Kingdom of Great Britain and Northern Ireland,,Female,CAH04-01	Psychology,1988.0
141,51.8,China,,Male,CAH11-01	Computing,2001.0
142,60.0,Jordan,,Female,CAH04-01	Psychology,1994.0
143,64.0,United Kingdom of Great Britain and Northern Ireland,,Male,CAH02-05	Medical sciences,1990.0
144,64.4,Bangladesh,,Female,CAH17-01	Business and management,1995.0
145,64.0,United Kingdom of Great Britain and Northern Ireland,,Male,CAH20-01	History and archaeology,2002.0
146,74.0,United Kingdom of Great Britain and Northern Ireland,,Female,CAH22-01	Education and teaching,1979.0
147,76.2,United Kingdom of Great Britain and Northern Ireland,,Male,CAH09-01	Mathematical sciences,1983.0
148,73.4,Sri Lanka,,Male,CAH10-01	Engineering,1983.0
149,60.4,Sri Lanka,,Male,CAH17-01	Business and management,1993.0
