student_id,list_of_countries,what_is_your_year_of_birth_just_the_year_eg_1995_,how_do_you_describe_yourself___selected_choice,how_do_you_describe_yourself___prefer_to_self_describe___text,what_is_your_first_degree_subject_area,how_many_years_work_experience_do_you_have,what_sectors_have_you_worked_in,previous_experiences_of_team_working_in_study_and_work,enjoy_working_in_the_team,team_communication_will_be_highly_effective,team_communication_will_be_very_frequent,bond_perosnally_with_my_team_members,we_will_collaborate_together_on_the_same_tasks,work_separately_and_link_up_our_work_later,develop_my_professional_skills,develop_my_team_working_skills,adjust_the_project_regularly,we_will_stick_to_our_original_project,we_will_produce_an_end_result_which_we_are_proud_of,i_see_myself_as___extraverted_enthusiastic,i_see_myself_as___critical_quarrelsome,i_see_myself_as___dependable_self_disciplined,i_see_myself_as___anxious_easily_upset,i_see_myself_as___open_to_a_new_experiences_complex,i_see_myself_as___reserved_quiet,i_see_myself_as___sympathetic_warm,i_see_myself_as___disorganised_careless,i_see_myself_as___calm_emotionally_stable,i_see_myself_as___conventional_uncreative,this_module_is_interesting,for_my_own_good,because_i_am_supposed_to_do_it,i_don’t_see_any_good_reasons_in_the_module,this_module_is_pleasant,this_module_is_good_for_me,because_it_is_something_that_i_have_to_do,i_am_not_sure_if_it_is_worth_it,because_this_module_looks_fun,by_personal_decision,don’t_have_any_choice,don’t_see_what_this_module_brings_me,because_i_feel_good_about_this_module,module_is_important_for_me,i_feel_that_i_have_to_do_it,i_am_not_sure_it_is_a_good_thing_to_pursue_it
1,Nigeria,1996,Male,,"CAH13-01	Architecture, building and planning",5,"CONSTRUCTION,REAL ESTATE ACTIVITIES",I have some experience,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Agree moderately,Disagree moderately,Agree moderately,Diagree strongly,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Diagree strongly,Agree moderately,Diagree strongly,Exactly,Exactly,Exactly,Moderately,Exactly,A Little,Exactly,Enough,Exactly,Exactly,Not At All,Moderately,Exactly,Exactly,Exactly,A Little
122,Poland,2001,Male,,CAH17-01	Business and management,2,"AGRICULTURE, FORESTRY AND FISHING",I have experience of teamworking and have also led teams,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree a little,Agree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree a little,Agree a little,Diagree strongly,Agree strongly,Neither agree nor disagree,Enough,A Lot,A Very Little,A Very Little,Moderately,Enough,A Very Little,A Little,Enough,Moderately,A Very Little,A Very Little,A Lot,A Lot,A Very Little,A Very Little
123,Iran,1982,Male,,CAH10-01	Engineering,10,OTHER SERVICE ACTIVITIES,I have some experience,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Agree a little,Agree a little,Agree a little,Agree a little,Agree moderately,Disagree moderately,Agree a little,Diagree strongly,Neither agree nor disagree,Diagree strongly,Enough,Enough,Moderately,Not At All,Enough,Enough,Moderately,Moderately,Enough,Enough,Not At All,Not At All,Enough,Moderately,A Little,Not At All
124,Malaysia,1992,Male,,CAH17-01	Business and management,7,FINANCIAL AND INSURANCE ACTIVITIES,I have some experience,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree a little,Agree moderately,Agree moderately,Neither agree nor disagree,Agree moderately,Agree a little,Agree moderately,Disagree a little,Agree moderately,Agree moderately,A Lot,A Lot,Not At All,Not At All,A Lot,Exactly,Not At All,Not At All,A Lot,Exactly,Not At All,Not At All,Exactly,Exactly,Not At All,Not At All
125,United Kingdom of Great Britain and Northern Ireland,1987,Male,,CAH10-01	Engineering,5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",I have extensive experience of teamworking,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree a little,Diagree strongly,Agree strongly,Disagree moderately,Agree strongly,Agree a little,Agree strongly,Diagree strongly,Agree moderately,Diagree strongly,Exactly,Exactly,Not At All,Not At All,Moderately,Exactly,Exactly,Not At All,Exactly,Exactly,Not At All,Not At All,Exactly,Exactly,Exactly,Not At All
126,Algeria,2002,Female,,"CAH07-04	General, applied and forensic sciences",1,"MANUFACTURING,TRANSPORTATION AND STORAGE,OTHER SERVICE ACTIVITIES",I have some experience,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Disagree a little,Neither agree nor disagree,Agree a little,Disagree moderately,Agree moderately,Agree a little,Agree a little,Diagree strongly,Disagree a little,Disagree moderately,A Lot,Moderately,Not At All,Not At All,Moderately,A Lot,A Very Little,A Very Little,Moderately,Enough,A Very Little,Not At All,Moderately,Enough,A Very Little,A Very Little
127,United Kingdom of Great Britain and Northern Ireland,1980,Female,,CAH07-01	Physics and astronomy,26,"FINANCIAL AND INSURANCE ACTIVITIES,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,OTHER SERVICE ACTIVITIES",I have some experience,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Disagree a little,Diagree strongly,Agree moderately,Disagree moderately,Agree strongly,Agree a little,Agree moderately,Agree a little,Agree strongly,Agree moderately,A Little,Moderately,A Lot,A Little,A Very Little,Moderately,A Lot,A Little,A Very Little,Moderately,A Lot,Moderately,Moderately,A Little,A Lot,A Little
128,United Kingdom of Great Britain and Northern Ireland,1984,Female,,CAH04-01	Psychology,17,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,OTHER SERVICE ACTIVITIES",I have experience of teamworking and have also led teams,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree moderately,Diagree strongly,Agree strongly,Neither agree nor disagree,Agree moderately,Disagree a little,Agree moderately,Diagree strongly,Agree strongly,Neither agree nor disagree,A Lot,Enough,Enough,Not At All,Enough,Enough,Moderately,Not At All,A Lot,A Little,Moderately,Not At All,A Lot,A Lot,Moderately,Not At All
129,United Kingdom of Great Britain and Northern Ireland,1988,Male,,,15,CONSTRUCTION,I have experience of teamworking and have also led teams,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Agree strongly,Agree a little,Agree a little,Disagree a little,Agree strongly,Diagree strongly,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Disagree moderately,A Lot,Enough,Moderately,A Little,A Lot,Exactly,Not At All,A Very Little,Moderately,Enough,A Very Little,A Very Little,A Lot,A Lot,A Very Little,A Very Little
130,China,2001,Male,,CAH11-01	Computing,0,OTHER SERVICE ACTIVITIES,I have no prior experience of teamworking,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree a little,Diagree strongly,Agree moderately,Agree a little,Neither agree nor disagree,Agree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Enough,Enough,Enough,Moderately,Enough,Enough,A Lot,A Lot,A Lot,Enough,Enough,Moderately,A Lot,A Lot,A Lot,Moderately
131,Singapore,1988,Female,,CAH04-01	Psychology,12,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES,FINANCIAL AND INSURANCE ACTIVITIES",I have experience of teamworking and have also led teams,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Agree a little,Disagree moderately,Agree strongly,Diagree strongly,Agree strongly,Disagree moderately,Agree moderately,Disagree moderately,Agree a little,Disagree a little,Enough,Exactly,A Very Little,Not At All,Enough,A Lot,Not At All,Moderately,Enough,Exactly,Not At All,Not At All,Enough,Moderately,Not At All,Not At All
132,India,1990,Male,,CAH11-01	Computing,12,"FINANCIAL AND INSURANCE ACTIVITIES,OTHER SERVICE ACTIVITIES",I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Agree strongly,Disagree a little,Agree strongly,Disagree a little,Agree strongly,Disagree a little,Agree a little,Diagree strongly,Agree moderately,Disagree moderately,Exactly,Exactly,Moderately,A Very Little,Enough,Enough,Enough,A Very Little,Moderately,A Very Little,Moderately,A Little,Enough,Enough,Enough,Moderately
133,Philippines,1984,Male,,CAH17-01	Business and management,16,"MANUFACTURING,ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY,FINANCIAL AND INSURANCE ACTIVITIES",I have experience of teamworking and have also led teams,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree moderately,Disagree a little,Agree moderately,Neither agree nor disagree,Agree strongly,Diagree strongly,Agree moderately,Neither agree nor disagree,Neither agree nor disagree,Disagree moderately,Enough,Exactly,Enough,A Lot,Exactly,Exactly,Exactly,Not At All,Exactly,Exactly,,Not At All,A Lot,A Lot,Exactly,Not At All
134,Turkey,1982,Male,,CAH11-01	Computing,4,"INFORMATION AND COMMUNICATION,OTHER SERVICE ACTIVITIES",I have extensive experience of teamworking,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Disagree a little,Agree moderately,Agree moderately,Neither agree nor disagree,Agree moderately,Neither agree nor disagree,Neither agree nor disagree,Disagree moderately,Agree a little,Disagree a little,Enough,Enough,Enough,A Little,Enough,A Lot,A Little,A Little,Enough,A Little,Enough,Moderately,Enough,Enough,Enough,A Little
135,Viet Nam,1995,Male,,,6,"MANUFACTURING,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Diagree strongly,Agree a little,Agree moderately,Disagree moderately,Agree moderately,Agree strongly,Agree moderately,Disagree moderately,Neither agree nor disagree,Disagree moderately,Enough,A Lot,Exactly,A Very Little,Moderately,Enough,A Lot,A Very Little,Moderately,A Little,Moderately,A Little,Enough,Enough,A Lot,A Little
136,United Kingdom of Great Britain and Northern Ireland,1974,Male,,CAH11-01	Computing,,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES,INFORMATION AND COMMUNICATION,FINANCIAL AND INSURANCE ACTIVITIES,PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Diagree strongly,Agree strongly,Diagree strongly,Agree strongly,Disagree moderately,Agree strongly,Disagree moderately,Agree strongly,Disagree a little,A Lot,Moderately,Exactly,A Lot,Moderately,Moderately,Moderately,Enough,Moderately,Moderately,Exactly,Moderately,Moderately,Moderately,Moderately,Moderately
137,Nigeria,1991,Female,,CAH17-01	Business and management,3,"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,EDUCATION,OTHER SERVICE ACTIVITIES",I have some experience,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,Agree strongly,Agree strongly,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,A Lot,A Lot,Not At All,Not At All,A Lot,A Lot,A Lot,Not At All,A Lot,Exactly,Not At All,Not At All,A Lot,Exactly,A Lot,Not At All
138,Morocco,2001,Male,,CAH11-01	Computing,1,"TRANSPORTATION AND STORAGE,EDUCATION",I have extensive experience of teamworking,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Agree moderately,Agree moderately,Neither agree nor disagree,Agree moderately,Agree moderately,Agree a little,Neither agree nor disagree,Agree moderately,Disagree moderately,Exactly,Exactly,Not At All,Not At All,A Lot,A Lot,Moderately,Not At All,Exactly,Exactly,Not At All,Not At All,Exactly,Exactly,Enough,Not At All
139,Nigeria,2000,Male,,CAH03-01	Biosciences,1,OTHER SERVICE ACTIVITIES,I have some experience,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree a little,Diagree strongly,Agree moderately,Disagree a little,Agree strongly,Agree moderately,Agree moderately,Diagree strongly,Agree strongly,Diagree strongly,A Lot,Moderately,Enough,Not At All,A Lot,A Lot,A Lot,Not At All,Enough,Exactly,Not At All,Not At All,A Lot,Enough,Enough,Not At All
140,United Kingdom of Great Britain and Northern Ireland,1988,Female,,CAH04-01	Psychology,15,"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,FINANCIAL AND INSURANCE ACTIVITIES,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,EDUCATION",I have experience of teamworking and have also led teams,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Agree moderately,Neither agree nor disagree,Agree a little,Agree a little,Agree moderately,Disagree moderately,Agree a little,Neither agree nor disagree,Disagree a little,Disagree a little,Enough,Enough,Exactly,Moderately,A Little,Enough,Exactly,Moderately,A Little,Not At All,Exactly,Moderately,Moderately,Moderately,Exactly,A Very Little
141,China,2001,Male,,CAH11-01	Computing,0,,I have no prior experience of teamworking,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Diagree strongly,Diagree strongly,Diagree strongly,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,Agree strongly,Agree strongly,Agree strongly,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately
142,Jordan,1994,Female,,CAH04-01	Psychology,6,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",I have some experience,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Agree moderately,Disagree a little,Agree moderately,Neither agree nor disagree,Agree a little,Diagree strongly,Moderately,Moderately,Exactly,Not At All,Enough,A Lot,Exactly,A Little,Moderately,Not At All,Exactly,Not At All,Enough,A Lot,Exactly,Not At All
143,United Kingdom of Great Britain and Northern Ireland,1990,Male,,CAH02-05	Medical sciences,,"TRANSPORTATION AND STORAGE,FINANCIAL AND INSURANCE ACTIVITIES",I have extensive experience of teamworking,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Disagree moderately,Diagree strongly,Agree strongly,Disagree a little,Agree strongly,Neither agree nor disagree,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,Enough,Moderately,A Lot,Not At All,Moderately,Moderately,Exactly,A Very Little,Moderately,Not At All,A Lot,Not At All,Enough,Moderately,A Lot,Not At All
144,Bangladesh,1995,Female,,CAH17-01	Business and management,3,"INFORMATION AND COMMUNICATION,FINANCIAL AND INSURANCE ACTIVITIES,OTHER SERVICE ACTIVITIES",I have some experience,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree a little,Disagree a little,,Agree moderately,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,Agree strongly,Agree a little,Exactly,Exactly,Not At All,Not At All,Exactly,Exactly,Not At All,Not At All,Exactly,A Lot,A Very Little,Not At All,Exactly,Exactly,Not At All,A Very Little
145,United Kingdom of Great Britain and Northern Ireland,2002,Male,,CAH20-01	History and archaeology,5,"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,ACCOMMODATION AND FOOD SERVICE ACTIVITIES",I have some experience,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Disagree moderately,Agree a little,Disagree moderately,Agree a little,Disagree a little,Neither agree nor disagree,Disagree moderately,Agree moderately,Disagree a little,Moderately,Enough,A Lot,A Little,Enough,Enough,Enough,A Very Little,Moderately,A Little,A Very Little,A Very Little,Moderately,Moderately,A Little,A Very Little
146,United Kingdom of Great Britain and Northern Ireland,1979,Female,,CAH22-01	Education and teaching,6,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",I have extensive experience of teamworking,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Disagree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree strongly,Agree moderately,Agree strongly,Diagree strongly,Agree moderately,Disagree moderately,Moderately,Enough,Enough,A Lot,A Very Little,A Lot,A Lot,A Very Little,A Very Little,A Lot,A Lot,A Very Little,Moderately,Exactly,Exactly,A Very Little
147,United Kingdom of Great Britain and Northern Ireland,1983,Male,,CAH09-01	Mathematical sciences,13,EDUCATION,I have experience of teamworking and have also led teams,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree a little,Agree moderately,Agree a little,Agree a little,Neither agree nor disagree,Agree moderately,Neither agree nor disagree,Agree a little,Neither agree nor disagree,A Little,Moderately,Exactly,Not At All,Moderately,Moderately,Exactly,A Little,A Little,A Little,Exactly,A Little,A Little,Moderately,Exactly,Not At All
148,Sri Lanka,1983,Male,,CAH10-01	Engineering,15,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree strongly,Agree a little,Agree strongly,Disagree moderately,Agree strongly,Neither agree nor disagree,Agree a little,Diagree strongly,Agree moderately,Disagree moderately,A Lot,Exactly,Enough,,A Lot,Exactly,Exactly,Enough,Exactly,Enough,A Very Little,A Very Little,Exactly,Exactly,Exactly,A Very Little
149,Sri Lanka,1993,Male,,CAH17-01	Business and management,9,FINANCIAL AND INSURANCE ACTIVITIES,I have extensive experience of teamworking,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree moderately,Agree moderately,Agree moderately,Neither agree nor disagree,Agree strongly,Disagree a little,Agree a little,Diagree strongly,Agree a little,Disagree moderately,Enough,A Lot,A Very Little,A Very Little,Moderately,A Lot,Moderately,Not At All,Moderately,Moderately,A Very Little,A Very Little,A Lot,A Lot,Moderately,A Very Little
150,United Kingdom of Great Britain and Northern Ireland,2000,Male,,CAH09-01	Mathematical sciences,1,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",I have no prior experience of teamworking,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Disagree moderately,Agree moderately,Agree a little,Neither agree nor disagree,Agree moderately,Agree a little,Neither agree nor disagree,Disagree moderately,Agree moderately,Neither agree nor disagree,Enough,A Lot,Enough,Not At All,A Very Little,Exactly,Not At All,Not At All,A Very Little,Not At All,Not At All,Not At All,A Very Little,A Lot,Not At All,Not At All
151,United Kingdom of Great Britain and Northern Ireland,1996,Male,,CAH04-01	Psychology,5,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",I have experience of teamworking and have also led teams,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Disagree a little,Diagree strongly,Agree strongly,Neither agree nor disagree,Agree moderately,Agree moderately,Agree strongly,Diagree strongly,Agree strongly,Neither agree nor disagree,A Little,A Little,Exactly,Not At All,A Little,Moderately,Exactly,Moderately,A Little,Not At All,Exactly,Moderately,A Little,Moderately,A Lot,A Very Little
152,Bangladesh,1999,Male,,CAH10-01	Engineering,2,EDUCATION,I have extensive experience of teamworking,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree a little,Disagree moderately,Agree moderately,Disagree a little,Agree strongly,Agree strongly,Disagree moderately,Disagree moderately,Agree strongly,Agree strongly,Exactly,Exactly,Exactly,Exactly,Exactly,Exactly,Exactly,A Very Little,A Little,A Lot,Moderately,Not At All,A Very Little,Exactly,Exactly,Not At All
153,Nigeria,1976,Female,,CAH25-01	Creative arts and design,,FINANCIAL AND INSURANCE ACTIVITIES,I have some experience,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree moderately,Diagree strongly,,Agree a little,Agree strongly,Disagree a little,Agree strongly,Diagree strongly,Agree strongly,Agree a little,Enough,A Lot,Moderately,Not At All,Enough,Enough,Moderately,Not At All,Enough,Moderately,Not At All,Not At All,Enough,A Lot,Moderately,Not At All
154,Pakistan,1998,Male,,CAH11-01	Computing,4,"INFORMATION AND COMMUNICATION,EDUCATION",I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree a little,Disagree moderately,Agree moderately,Disagree moderately,Agree strongly,Neither agree nor disagree,Agree moderately,Diagree strongly,Agree moderately,Diagree strongly,Enough,A Lot,Moderately,Not At All,Moderately,Moderately,Moderately,Not At All,A Lot,A Lot,Not At All,Not At All,Enough,Enough,Moderately,A Very Little
155,Turkey,1969,Female,,CAH22-01	Education and teaching,30,"FINANCIAL AND INSURANCE ACTIVITIES,EDUCATION",I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Agree moderately,Agree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Agree moderately,Agree moderately,Diagree strongly,,Diagree strongly,Exactly,Exactly,Moderately,Not At All,Exactly,Exactly,Moderately,Not At All,Moderately,Moderately,Not At All,Not At All,Exactly,Exactly,Moderately,Not At All
156,Sri Lanka,2001,Male,,CAH17-01	Business and management,1,MANUFACTURING,I have some experience,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree strongly,Agree moderately,Agree strongly,Neither agree nor disagree,Agree strongly,Agree a little,Agree moderately,Disagree a little,Agree moderately,Diagree strongly,A Lot,A Lot,Moderately,A Very Little,Enough,A Lot,Enough,A Little,Enough,Enough,A Little,A Little,A Lot,A Lot,A Little,A Little
157,Sri Lanka,1986,Male,,CAH17-01	Business and management,,"FINANCIAL AND INSURANCE ACTIVITIES,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",I have extensive experience of teamworking,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,Diagree strongly,Diagree strongly,Agree strongly,Diagree strongly,Exactly,Exactly,Not At All,Not At All,A Little,Enough,Not At All,Not At All,Enough,A Very Little,Not At All,Not At All,Enough,Exactly,Not At All,A Very Little
158,India,1995,Male,,CAH10-01	Engineering,5,INFORMATION AND COMMUNICATION,I have some experience,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Agree strongly,Disagree moderately,Disagree a little,Neither agree nor disagree,Agree strongly,Agree a little,Neither agree nor disagree,Diagree strongly,Agree strongly,Diagree strongly,A Lot,A Lot,A Very Little,Not At All,Enough,Exactly,Moderately,A Very Little,Exactly,Exactly,Not At All,Not At All,A Lot,Exactly,Exactly,Not At All
159,Cameroon,1991,Female,,CAH17-01	Business and management,2,OTHER SERVICE ACTIVITIES,I have some experience,Strongly agree,Strongly agree,,,Strongly agree,Strongly agree,,,,,,Agree strongly,,,,,,,,,,,,,,,,,,,,,,,,,
160,United Kingdom of Great Britain and Northern Ireland,2001,Male,,CAH09-01	Mathematical sciences,0,,I have extensive experience of teamworking,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree moderately,Agree strongly,Agree moderately,Neither agree nor disagree,Agree strongly,Agree a little,Agree moderately,Neither agree nor disagree,Agree moderately,Neither agree nor disagree,A Lot,Moderately,Moderately,Not At All,Enough,A Lot,Moderately,Not At All,Enough,A Lot,Not At All,Not At All,A Lot,A Lot,Not At All,Not At All
